category,name,description,transparent,width,height,formats,svg
01-brand,luxsync-wordmark-light,Primary LuxSync wordmark for dark backgrounds,true,1600,420,svg-png-webp,01-brand/luxsync-wordmark-light.svg
01-brand,luxsync-wordmark-dark,Dark LuxSync wordmark for pale backgrounds,true,1600,420,svg-png-webp,01-brand/luxsync-wordmark-dark.svg
01-brand,luxsync-monogram-orb,LS monogram with the Plush Drift swirl,true,860,584,svg-png-webp,01-brand/luxsync-monogram-orb.svg
01-brand,luxsync-favicon,Square favicon/app icon,false,512,512,svg-png-webp,01-brand/luxsync-favicon.svg
01-brand,luxsync-horizontal-lockup,Horizontal logo with monogram and descriptor,true,1513,389,svg-png-webp,01-brand/luxsync-horizontal-lockup.svg
01-brand,luxsync-stacked-lockup,Stacked logo with monogram and descriptor,true,1000,900,svg-png-webp,01-brand/luxsync-stacked-lockup.svg
01-brand,luxsync-hero-card,Primary glowing brand hero card,false,1200,1200,svg-png-webp,01-brand/luxsync-hero-card.svg
01-brand,luxsync-divider,Section divider with rose center point,true,1600,260,svg-png-webp,01-brand/luxsync-divider.svg
02-icons-brand,tactile-luxury,Tactile Luxury,true,512,512,svg-png-webp,02-icons-brand/tactile-luxury.svg
02-icons-brand,intelligent-calm,Intelligent Calm,true,512,512,svg-png-webp,02-icons-brand/intelligent-calm.svg
02-icons-brand,warm-futurism,Warm Futurism,true,512,512,svg-png-webp,02-icons-brand/warm-futurism.svg
02-icons-brand,effortless-sophistication,Effortless Sophistication,true,512,512,svg-png-webp,02-icons-brand/effortless-sophistication.svg
02-icons-brand,corner-radius,Generous Corner Radius,true,512,512,svg-png-webp,02-icons-brand/corner-radius.svg
02-icons-brand,breathing-space,Inner Breathing Space,true,512,512,svg-png-webp,02-icons-brand/breathing-space.svg
02-icons-brand,soft-border,Soft Borders,true,512,512,svg-png-webp,02-icons-brand/soft-border.svg
02-icons-brand,layered-depth,Layered Depth,true,512,512,svg-png-webp,02-icons-brand/layered-depth.svg
02-icons-brand,ambient-glow,Ambient Glow,true,512,512,svg-png-webp,02-icons-brand/ambient-glow.svg
02-icons-brand,organic-motion,Organic Motion,true,512,512,svg-png-webp,02-icons-brand/organic-motion.svg
02-icons-brand,check,Check,true,512,512,svg-png-webp,02-icons-brand/check.svg
02-icons-brand,close,Close,true,512,512,svg-png-webp,02-icons-brand/close.svg
03-icons-website,security,security icon,true,512,512,svg-png-webp,03-icons-website/security.svg
03-icons-website,delivery,delivery icon,true,512,512,svg-png-webp,03-icons-website/delivery.svg
